﻿Substation Name,Nominal Voltage (kV),Grid Group,Supergrid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),Overall Category,132kV Generation Capacity,33kV Fault Level,Wider Constraint Category,Wider Constraint,District,X,Y
AINTREE,132/33,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,KIRKBY,101.9,76.7,19.2,6.1,16.0,RED,Green,Green,Red,,Merseyside,337138.394,399769.697
FORMBY,132/33,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,KIRKBY,101.9,76.7,19.2,6.1,16.0,RED,Green,Green,Red,,Merseyside,330979.98,406990.728
LISTER DRIVE,132/33,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,LISTER DRIVE,138.1,85.6,21.4,5.4,20.4,AMBER,Green,Red,Amber,,Merseyside,338447.3411,391747.9437
LEGACY,132/33,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,LEGACY,154.7,119.7,29.9,28.9,48.0,RED,Green,Green,Red,,Dee Valley & Mid Wales,329112.934,347936.927
WARRINGTON,132/33,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,CARRINGTON - FIDDLERS FERRY,103.0,92.7,23.2,11.2,5.4,RED,Green,Green,Red,,Mid Cheshire,362284.617,388088.356
PERCIVAL LANE,132/33,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,FRODSHAM - INCE,106.2,67.1,16.8,37.4,49.3,RED,Red,Red,Red,,Wirral,349781.888,381986.176
FORMBY,132/33,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,KIRKBY,75.0,61.0,15.3,0.0,12.2,RED,Green,Amber,Red,,Merseyside,330979.98,406990.728
GATEACRE,132/33,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,RAINHILL,114.8,87.2,21.8,9.5,0.0,RED,Green,Red,Red,,Merseyside,344197.889,388738.235
PRESCOT,132/33,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,RAINHILL,114.8,87.2,21.8,9.5,0.0,RED,Green,Red,Red,,Merseyside,346795.642,392037.061
LEGACY,132/33,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,LEGACY,174.4,99.0,24.7,200.9,14.1,RED,Red,Green,Red,,Dee Valley & Mid Wales,329112.934,347936.927
HOOTON PARK,132/33,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,CAPENHURST,88.1,81.4,20.4,71.8,52.9,RED,Red,Red,Red,,Wirral,338942.487,378300.071
CASTLE CEMENT,132/33,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,CONNAHS QUAY - PENTIR - ST ASAPH,119.8,86.0,21.5,32.2,0.0,RED,Green,Amber,Red,,Dee Valley & Mid Wales,328908.402,362178.032
SALTNEY,132/33,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,CAPENHURST,128.6,107.2,26.8,30.0,108.5,RED,Red,Red,Red,,Wirral,337192.164,365348.502
WHITCHURCH,132/33,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,CELLARHEAD,197.4,119.1,29.8,26.7,85.7,RED,Green,Red,Red,,Dee Valley & Mid Wales,352644.259,342810.34
LOSTOCK,132/33,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,CARRINGTON - FIDDLERS FERRY,113.0,80.6,20.1,23.8,34.4,RED,Green,Red,Red,,Mid Cheshire,369204.199,374493.642
HALEWOOD,132/33,HALEWOOD G1B / HALEWOOD G2B / HALEWOOD GT3 / SPEKE GT1A,RAINHILL,64.1,26.3,6.6,13.7,0.0,RED,Green,Red,Red,,Merseyside,344871.392,384415.072
HOYLAKE,132/33,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,BIRKENHEAD,86.9,62.5,15.6,4.0,42.5,RED,Green,Amber,Red,,Wirral,321829.76,388736.352
NEWTOWN,132/33,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,LEGACY,174.4,99.0,24.7,200.9,14.1,RED,Red,Green,Red,,Dee Valley & Mid Wales,312027.716,291813.559
WHITCHURCH,132/33,OSWESTRY GT5 / WHITCHURCH GT1,LEGACY,68.9,55.3,13.8,0.0,0.0,RED,Green,Red,Red,,Dee Valley & Mid Wales,352644.259,342810.34
PRESCOT,132/33,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,RAINHILL,110.6,81.1,20.3,41.6,22.0,RED,Green,Red,Red,,Merseyside,346795.642,392037.061
WIDNES,132/33,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,RAINHILL,110.6,81.1,20.3,41.6,22.0,RED,Green,Red,Red,,Merseyside,350905.541,385115.108
HAWARDEN,132/33,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,CONNAHS QUAY - PENTIR - ST ASAPH,119.8,86.0,21.5,32.2,0.0,RED,Green,Amber,Red,,Dee Valley & Mid Wales,329843.68,365931.52
SIXTH AVENUE,132/33,DEESIDE PK GRID GT1 / SIXTH AVE GRID GT1,CONNAHS QUAY - PENTIR - ST ASAPH,51.7,38.0,9.5,34.1,12.0,RED,Amber,Amber,Red,,Wirral,332325.983,370503.675
MAENTWROG,132/33,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,TRAWSFYNYDD,69.6,62.7,15.7,112.1,5.1,AMBER,Green,Green,Amber,,North Wales,265435.3483,339445.762
WELSHPOOL,132/33,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,LEGACY,174.4,99.0,24.7,200.9,14.1,RED,Red,Green,Red,,Dee Valley & Mid Wales,324184.711,306765.035
SANKEY BRIDGES,132/33,SANKEY BRIDGES GT3 / WARRINGTON GT5,CARRINGTON - FIDDLERS FERRY,75.4,59.8,15.0,55.3,24.0,RED,Red,Amber,Red,,Mid Cheshire,358579.833,387484.8545
LITHERLAND,132/33,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,KIRKBY,101.9,76.7,19.2,6.1,16.0,RED,Green,Green,Red,,Merseyside,333092.209,398098.916
GILLMOSS,132/33,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,KIRKBY,65.0,51.1,12.8,2.5,0.0,RED,Green,Green,Red,,Merseyside,340488.896,396589.408
BANGOR,132/33,BANGOR GT2 / CAERNARFON GT2,CONNAHS QUAY - PENTIR - ST ASAPH,82.1,47.6,11.9,27.2,20.2,RED,Amber,Green,Red,,North Wales,254461.181,370269.591
LITHERLAND,132/33,BOOTLE GT1 / LITHERLAND GT1A,KIRKBY,68.6,45.6,11.4,57.3,0.0,RED,Red,Amber,Red,,Merseyside,333092.209,398098.916
WREXHAM,132/33,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,LEGACY,154.7,119.7,29.9,28.9,48.0,RED,Green,Green,Red,,Dee Valley & Mid Wales,335135.008,349117.888
DEESIDE PARK,132/33,DEESIDE PK GRID GT1 / SIXTH AVE GRID GT1,CONNAHS QUAY - PENTIR - ST ASAPH,51.7,38.0,9.5,34.1,12.0,RED,Amber,Amber,Red,,Wirral,331029.603,371356.881
ELWORTH,132/33,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,CARRINGTON - FIDDLERS FERRY,85.4,55.2,13.8,81.2,13.6,RED,Red,Amber,Red,,Mid Cheshire,372735.029,363423.441
GARSTON,132/33,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,LISTER DRIVE,108.3,55.3,13.8,14.6,29.2,AMBER,Green,Red,Amber,,Merseyside,340523.2,384471.616
WARRINGTON,132/33,SANKEY BRIDGES GT3 / WARRINGTON GT5,CARRINGTON - FIDDLERS FERRY,75.4,59.8,15.0,55.3,24.0,RED,Red,Amber,Red,,Mid Cheshire,362284.617,388088.356
ABERYSTWYTH,132/33,ABERYSTWYTH GT2 / RHYDLYDAN GT1,SWANSEA NORTH,45.4,36.1,9.0,82.3,0.0,RED,Red,Green,Red,,Dee Valley & Mid Wales,260905.512,281278.446
CHESTER,132/33,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,CAPENHURST,128.6,107.2,26.8,30.0,108.5,RED,Red,Red,Red,,Wirral,339154.923,369128.143
COLWYN BAY,132/33,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,CONNAHS QUAY - PENTIR - ST ASAPH,92.5,63.5,15.9,70.8,0.0,RED,Amber,Green,Red,,North Wales,282666.0,379217.0
INCE,132/33,ELLESMERE PORT GT2 / INCE LOCAL GT1 / INCE LOCAL GT2,FRODSHAM - INCE,100.6,46.2,11.5,81.4,30.7,RED,Red,Green,Red,,Wirral,345879.095,375873.63
FOUR CROSSES,132/33,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,TRAWSFYNYDD,69.6,62.7,15.7,112.1,5.1,AMBER,Green,Green,Amber,,North Wales,239844.007,339815.085
HUYTON,132/33,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,RAINHILL,114.8,87.2,21.8,9.5,0.0,RED,Green,Red,Red,,Merseyside,342919.296,392180.16
SIMONSWOOD,132/33,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,KIRKBY,90.2,52.4,13.1,0.0,20.0,RED,Green,Red,Red,,Merseyside,342986.4,399701.152
HOLYWELL,132/33,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,CONNAHS QUAY - PENTIR - ST ASAPH,112.9,89.4,22.4,90.8,39.0,RED,Green,Amber,Red,,North Wales,314631.4901,374287.7089
ROCK FERRY,132/33,PRENTON GRID GT1 / ROCK FERRY GT1,BIRKENHEAD,74.4,55.0,13.7,1.0,0.0,RED,Green,Green,Red,,Wirral,333219.84,385724.864
ST HELENS,132/33,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,RAINHILL,69.1,47.6,11.9,44.0,0.0,RED,Amber,Green,Red,,Merseyside,349821.748,395303.821
WINDLE,132/33,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,RAINHILL,69.1,47.6,11.9,44.0,0.0,RED,Amber,Green,Red,,Merseyside,350965.0,397032.0
FAZAKERLEY,132/33,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,KIRKBY,65.0,51.1,12.8,2.5,0.0,RED,Green,Green,Red,,Merseyside,337524.93,396421.575
BOLD,132/33,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,RAINHILL,64.6,26.0,6.5,29.6,11.0,RED,Amber,Green,Red,,Merseyside,354002.0,393233.0
BROMBOROUGH,132/33,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,CAPENHURST,88.1,81.4,20.4,71.8,52.9,RED,Red,Red,Red,,Wirral,335925.844,382360.713
PARADISE STREET,132/33,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,LISTER DRIVE,139.0,81.4,20.3,27.0,0.0,AMBER,Green,Red,Amber,,Merseyside,334572.96,389914.176
SALTNEY,132/33,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,CONNAHS QUAY - PENTIR - ST ASAPH,119.8,86.0,21.5,32.2,0.0,RED,Green,Amber,Red,,Wirral,337192.164,365348.502
KNUTSFORD,132/33,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,CARRINGTON - FIDDLERS FERRY,85.4,55.2,13.8,81.2,13.6,RED,Red,Amber,Red,,Mid Cheshire,375188.8384,377924.9366
SPEKE,132/33,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,LISTER DRIVE,108.3,55.3,13.8,14.6,29.2,AMBER,Green,Red,Amber,,Merseyside,343609.486,384354.525
KIRKBY,132/33,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,RAINHILL,114.8,87.2,21.8,9.5,0.0,RED,Green,Red,Red,,Merseyside,343706.343,397295.976
SPEKE,132/33,HALEWOOD G1B / HALEWOOD G2B / HALEWOOD GT3 / SPEKE GT1A,RAINHILL,64.1,26.3,6.6,13.7,0.0,RED,Green,Red,Red,,Merseyside,343609.486,384354.525
HESWALL,132/33,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,BIRKENHEAD,86.9,62.5,15.6,4.0,42.5,RED,Green,Amber,Red,,Wirral,328649.7655,381778.8201
DALLAM,132/33,SANKEY BRIDGES GT3 / WARRINGTON GT5,CARRINGTON - FIDDLERS FERRY,75.4,59.8,15.0,55.3,24.0,RED,Red,Amber,Red,,Mid Cheshire,360154.905,390713.009
RHYDLYDAN,132/33,ABERYSTWYTH GT2 / RHYDLYDAN GT1,SWANSEA NORTH,45.4,36.1,9.0,82.3,0.0,RED,Red,Green,Red,,Dee Valley & Mid Wales,272330.0,281062.0
RAVENHEAD,132/33,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,RAINHILL,64.6,26.0,6.5,29.6,11.0,RED,Amber,Green,Red,,Merseyside,350818.067,394555.006
BOOTLE,132/33,BOOTLE GT1 / LITHERLAND GT1A,KIRKBY,68.6,45.6,11.4,57.3,0.0,RED,Red,Amber,Red,,Merseyside,334637.6517,395991.5417
BURLINGTON STREET,132/33,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,LISTER DRIVE,138.1,85.6,21.4,5.4,20.4,AMBER,Green,Red,Amber,,Merseyside,334034.712,391751.976
ROCK FERRY,132/33,BROMBOROUGH GT3 / ROCK FERRY GT2,BIRKENHEAD,71.4,48.1,12.0,29.4,7.1,RED,Amber,Green,Red,,Wirral,333219.84,385724.864
BRYMBO,132/33,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,LEGACY,154.7,119.7,29.9,28.9,48.0,RED,Green,Green,Red,,Dee Valley & Mid Wales,329094.505,353200.14
MARCHWIEL,132/33,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,LEGACY,154.7,119.7,29.9,28.9,48.0,RED,Green,Green,Red,,Dee Valley & Mid Wales,338675.352,349793.255
BRYMBO,132/33,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,CONNAHS QUAY - PENTIR - ST ASAPH,82.0,60.6,15.1,12.4,1.1,RED,Green,Amber,Red,,Dee Valley & Mid Wales,329094.505,353200.14
HOLYWELL,132/33,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,CONNAHS QUAY - PENTIR - ST ASAPH,82.0,60.6,15.1,12.4,1.1,RED,Green,Amber,Red,,North Wales,314631.4901,374287.7089
LISTER DRIVE,132/33,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,LISTER DRIVE,139.0,81.4,20.3,27.0,0.0,AMBER,Green,Red,Amber,,Merseyside,338447.3411,391747.9437
GUILDEN SUTTON,132/33,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,CAPENHURST,128.6,107.2,26.8,30.0,108.5,RED,Red,Red,Red,,Wirral,343671.8894,367928.7374
DOLGARROG,132/33,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,CONNAHS QUAY - PENTIR - ST ASAPH,92.5,63.5,15.9,70.8,0.0,RED,Amber,Green,Red,,North Wales,277020.524,367675.615
CREWE,132/33,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,CELLARHEAD,197.4,119.1,29.8,26.7,85.7,RED,Green,Red,Red,,Mid Cheshire,367639.456,356360.224
RADWAY GREEN,132/33,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,CELLARHEAD,197.4,119.1,29.8,26.7,85.7,RED,Green,Red,Red,,Mid Cheshire,377604.117,354175.735
RHYL,132/33,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,CONNAHS QUAY - PENTIR - ST ASAPH,112.9,89.4,22.4,90.8,39.0,RED,Green,Amber,Red,,North Wales,301157.0,380226.0
ST ASAPH,132/33,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,CONNAHS QUAY - PENTIR - ST ASAPH,112.9,89.4,22.4,90.8,39.0,RED,Green,Amber,Red,,North Wales,302107.1498,374226.2423
LISTER DRIVE,132/33,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,LISTER DRIVE,138.4,94.5,23.6,7.1,0.0,AMBER,Green,Red,Amber,,Merseyside,338447.3411,391747.9437
PRENTON,132/33,PRENTON GRID GT1 / ROCK FERRY GT1,BIRKENHEAD,74.4,55.0,13.7,1.0,0.0,RED,Green,Green,Red,,Wirral,329029.4926,386736.7015
CAERGEILIOG,132/33,AMLWCH GT1 / CAERGEILIOG GT1,WYLFA,72.5,48.5,12.1,88.3,54.2,AMBER,Red,Green,Amber,,North Wales,230502.7354,378285.7313
BOLD,132/33,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,RAINHILL,110.6,81.1,20.3,41.6,22.0,RED,Green,Red,Red,,Merseyside,354002.0,393233.0
BOOTLE,132/33,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,LISTER DRIVE,138.1,85.6,21.4,5.4,20.4,AMBER,Green,Red,Amber,,Merseyside,334637.6517,395991.5417
BROMBOROUGH,132/33,BROMBOROUGH GT3 / ROCK FERRY GT2,BIRKENHEAD,71.4,48.1,12.0,29.4,7.1,RED,Amber,Green,Red,,Wirral,335925.844,382360.713
HAWARDEN,132/33,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,CONNAHS QUAY - PENTIR - ST ASAPH,82.0,60.6,15.1,12.4,1.1,RED,Green,Amber,Red,,Dee Valley & Mid Wales,329843.68,365931.52
CRANE BANK,132/33,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,CAPENHURST,128.6,107.2,26.8,30.0,108.5,RED,Red,Red,Red,,Wirral,339825.073,366287.779
SANKEY BRIDGES,132/33,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,CARRINGTON - FIDDLERS FERRY,103.0,92.7,23.2,11.2,5.4,RED,Green,Green,Red,,Mid Cheshire,358579.833,387484.8545
MOORE,132/33,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,FRODSHAM - INCE,106.2,67.1,16.8,37.4,49.3,RED,Red,Red,Red,,Wirral,355783.73,383225.468
ELLESMERE PORT,132/33,ELLESMERE PORT GT2 / INCE LOCAL GT1 / INCE LOCAL GT2,FRODSHAM - INCE,100.6,46.2,11.5,81.4,30.7,RED,Red,Green,Red,,Wirral,341600.4253,376259.8359
HARTFORD,132/33,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,CARRINGTON - FIDDLERS FERRY,113.0,80.6,20.1,23.8,34.4,RED,Green,Red,Red,,Mid Cheshire,363363.648,371367.204
WINSFORD,132/33,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,CARRINGTON - FIDDLERS FERRY,113.0,80.6,20.1,23.8,34.4,RED,Green,Red,Red,,Mid Cheshire,367025.984,366937.376
SOUTHPORT,132/33,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,KIRKBY,75.0,61.0,15.3,0.0,12.2,RED,Green,Amber,Red,,Merseyside,336512.416,416755.648
PRENTON,132/33,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,BIRKENHEAD,86.9,62.5,15.6,4.0,42.5,RED,Green,Amber,Red,,Wirral,329029.4926,386736.7015
OSWESTRY,132/33,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,LEGACY,174.4,99.0,24.7,200.9,14.1,RED,Red,Green,Red,,Dee Valley & Mid Wales,330339.553,330540.188
RAVENHEAD,132/33,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,RAINHILL,69.1,47.6,11.9,44.0,0.0,RED,Amber,Green,Red,,Merseyside,350818.067,394555.006
WALLASEY,132/33,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,BIRKENHEAD,95.0,54.0,13.5,22.8,0.2,RED,Green,Red,Red,,Wirral,329901.664,391198.848
AINTREE,132/33,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,KIRKBY,65.0,51.1,12.8,2.5,0.0,RED,Green,Green,Red,,Merseyside,337138.394,399769.697
AMLWCH,132/33,AMLWCH GT1 / CAERGEILIOG GT1,WYLFA,72.5,48.5,12.1,88.3,54.2,AMBER,Red,Green,Amber,,North Wales,244768.698,392997.001
CAERNARFON,132/33,BANGOR GT2 / CAERNARFON GT2,CONNAHS QUAY - PENTIR - ST ASAPH,82.1,47.6,11.9,27.2,20.2,RED,Amber,Green,Red,,North Wales,249133.173,363559.119
ST HELENS,132/33,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,RAINHILL,64.6,26.0,6.5,29.6,11.0,RED,Amber,Green,Red,,Merseyside,349821.748,395303.821
BURLINGTON STREET,132/33,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,LISTER DRIVE,139.0,81.4,20.3,27.0,0.0,AMBER,Green,Red,Amber,,Merseyside,334034.712,391751.976
COPPENHALL,132/33,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,CELLARHEAD,197.4,119.1,29.8,26.7,85.7,RED,Green,Red,Red,,Mid Cheshire,371594.848,356654.496
DALLAM,132/33,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,CARRINGTON - FIDDLERS FERRY,103.0,92.7,23.2,11.2,5.4,RED,Green,Green,Red,,Mid Cheshire,360154.905,390713.009
DUTTON,132/33,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,FRODSHAM - INCE,106.2,67.1,16.8,37.4,49.3,RED,Red,Red,Red,,Wirral,355806.836,379622.546
GILLMOSS,132/33,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,KIRKBY,90.2,52.4,13.1,0.0,20.0,RED,Green,Red,Red,,Merseyside,340488.896,396589.408
KIRKBY,132/33,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,KIRKBY,90.2,52.4,13.1,0.0,20.0,RED,Green,Red,Red,,Merseyside,343706.343,397295.976
SPARLING STREET,132/33,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,LISTER DRIVE,138.4,94.5,23.6,7.1,0.0,AMBER,Green,Red,Amber,,Merseyside,334619.2348,389544.5243
WAVERTREE,132/33,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,LISTER DRIVE,138.4,94.5,23.6,7.1,0.0,AMBER,Green,Red,Amber,,Merseyside,339070.752,388476.832
WOODSIDE,132/33,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,BIRKENHEAD,95.0,54.0,13.5,22.8,0.2,RED,Green,Red,Red,,Wirral,332746.848,389227.904
